"Texas, United States", 1992
"Havre, Montana", 1979
"London, England", 1981
"Versailles (commune)", 1995
"Chicago, Illinois, United States", 1997
"San Diego, California, United States", 1998
"Netherlands", 2001
"Trondheim, Norway ", 1999
"Rochdale, Greater Manchester, England", 1987
"Queens, New York, United States", 2005
"Lanner, Cornwall", 1985
"Siena, Italy", 1999
"Berlin, Germany", 1970
"United States", 2004
"New York", 1978
"England", 1994
"Troms\u00f8, Norway", 1983
"Edinburgh, Scotland", 1986
"{{USA}}", 1979
"New York City", 1994
"Los Angeles, California", 1987
"Toru\u0144, Poland", 1991
"Bergen, Norway", 1991
"New York City, New York, United States", 2013
"Gothenburg, Sweden", 1996
"San Francisco, California", 1971
"Berlin, Germany", 1971
"Grangemouth, Scotland", 1979
"London, England", 1982
"France", 2001
"Vancouver, British Columbia, Canada", 1997
"Boston, Massachusetts", 1978
"Scotland", 1996
"United States", 2013
"Melbourne, Australia (formed) London, England (recorded/signed)", 1981
"Austin, Texas, US", 2004
"Toronto, Ontario, Canada", 1995
"New York City, United States", 1995
"France", 1992
"Atlanta, Georgia (U.S. State)", 2001
"El Paso, Texas", 1998
"Vancouver, British Columbia, Canada", 1987
"Gothenburg, Sweden", 1991
"T\u00fcbingen, Germany", 1963
"Canada", 2000
"Utica, New York", 1977
"Portland, Oregon Seattle, Washington (state)", 2003
"Cleveland, Ohio, United States", 2006
"Germany ", 1990
"{{flagicon", 1980
"San Francisco, California", 1998
"Virginia Beach, Virginia", 2000
"Stockholm, Sweden", 1996
"San Fernando Valley, California, USA", 1999
"England, United Kingdom", 2002
"Godalming, Surrey, England", 1967
"Yeovil,  England", 1992
"Merseyside, United Kingdom", 1988
"Montreal, Quebec, Canada", 1994
"London, England", 1999
"Rochester, Kent", 1992
"Heidelberg, Germany", 1968
"Holon, Israel", 2002
"Manchester, England", 1968
"Nashville, Tennessee, US", 2004
"Forst, Lower Saxony", 1973
"Montreal, Quebec, Canada", 1996
"Naka River (Saitama Tokyo)", 1972
"Czech", 1973
"United Kingdom", 1997
"Brighton, Sussex, England, United Kingdom", 1987
"United States", 2005
"Lyon, France", 1972
"Wroc\u0142aw, Poland", 1997
"Atlanta, Georgia, United States ", 1980
"Iceland", 1992
"Swansea, Wales, United Kingdom", 1970
"Camano Island", 1980
"Willmar, Minnesota", 1983
"Detroit, Michigan", 1996
"Groningen (city)", 2001
"London, England", 1987
"D\u00fcsseldorf, North Rhine-Westphalia, West Germany", 1970
"Richmond, Virginia, United States", 1992
"Liverpool, England", 1999
"Ancaster, Ontario", 1976
"Philadelphia", 1979
"Milwaukee, Wisconsin", 2003
"Vancouver, British Columbia, Canada", 1998
"Salt Lake City, Utah", 1980
"Antibes, Alpes-Maritimes, France", 2001
"Omaha, Nebraska", 1974
"Manchester", 2003
"Germany", 1985
"Stratford, Ontario", 1985
"Fagagna, Italy", 1984
"United Kingdom", 1991
"Darien, Connecticut, U.S", 1984
"UK", 1992
"Austria", 1993
"Flagstaff, Arizona", 1982
"Kolbotn, Norway", 1993
"Ireland", 1984
"England", 1987
"Belgium", 1984
"Siena, Italy", 1999
"Manchester, England", 2001
"Cincinnati, Ohio ", 1998
"Oklahoma City, Oklahoma, United States", 1986
"New Jersey, USA", 2000
"London, England", 1988
"Shoreditch, London Borough of Hackney", 1982
"Sevenoaks, Kent, England", 1989
"London, England", 2002
"Burlington, Vermont", 1983
"Tampa, Florida", 1991
"Abingdon-on-Thames", 1985
"Sweden", 1992
"California", 2013
"Nashville, Tennessee, US", 2004
"Berlin, Germany", 1968
"Japan", 2001
"Troms\u00f8, Troms, Norway", 1998
"Glendale, California, USA", 1985
"Germany", 1960
"Berlin, Allied-occupied Germany", 1969
"Birmingham, England, United Kingdom", 1991
"Chicago, USA", 1972
"United Kingdom", 1996
"San Francisco, California, United States", 1965
"Seattle, Washington, United States", 2008
"Reykjav\u00edk, Iceland", 1994
"Austin, Texas, United States", 1993
"Gothenburg, Sweden", 2001
"Berlin", 1967
"Sacramento, California, United States", 2000
"New Orleans, Louisiana, United States", 1999
"Sydney, Australia", 1980
"Rio de Janeiro, Brazil", 1995
"Los Angeles, California", 1987
"Sacramento California, United States", 2002
" Norway", 1993
"Romford, Greater London, England", 1980
"Volos, Greece", 1961
"Portland, Oregon, USA", 1996
"Redruth, Cornwall, United Kingdom", 1989
"Kalamata, Kingdom of Greece", 1980
"Tokyo, Japan", 1977
"London, England", 1997
