"London, England", 1982
"Boston, Massachusetts", 1978
"Vancouver, British Columbia, Canada", 1987
"Vancouver, British Columbia", 1992
"United Kingdom", 2002
"Oslo, Norway", 2003
"San Diego, California", 1992
"New York City, New York, U.S.", 1997
"Great Britain", 1982
"Austria", 1996
"Notodden, Telemark, Norway", 1993
"Sydney, New South Wales, Australia", 1978
"Vancouver, British Columbia, Canada", 1982
"Los Angeles, California, United States", 1989
"Birmingham, England, {{nowrap", 1988
"United States", 1996
"Sydney, Australia", 2004
"New York City, New York, United States", 1999
"Atlanta, Georgia (U.S. state)", 2003
"Berlin, Germany", 1987
"Bavaria, Germany", 1989
"Hollywood, California", 2000
"D\xc3\xbcsseldorf, Germany", 1980
"Germany", 1995
"Columbus, Ohio, USA", 1996
"Aarschot, Belgium", 1981
"Vancouver, British Columbia, Canada", 1986
"Hameln, Lower Saxony, Germany", 1995
"Germany", 1993
"Mexico City/Mexico", 1993
"Fredrikstad Norway", 1997
"Germany", 1989
"Riverside, California", 1996
"United States", 1998
"Hamburg, Germany", 1984
"Trbovlje, Slovenia", 1980
"Swindon, Wiltshire, England", 1987
"Essex, England, United Kingdom", 1982
"Vancouver, British Columbia", 1986
"Los Angeles, California", 2000
"\'Ewa Beach, Hawai\'i, United States", 1994
"Germany", 2001
"Germany", 2002
"Los Angeles, United States", 1992
"Leopoldsburg, Belgium", 1986
"Westminster, Colorado", 1990
"London, England", 1990
"Germany", 1988
"Denver, Colorado, United States", 1975
"United Kingdom", 1986
"United States", 1988
"Coventry, England", 1980
"Tokyo, Honsh\xc5\xab, Japan", 2004
"New York City, USA", 1992
"Sheffield, England", 1973
"Washington D.C., USA", 1989
"San Francisco, California, United States", 1975
"Los Angeles, California", 1992
"Clearwater, Florida", 1996
"Belgium, United Kingdom", 1995
"England", 1981
"France", 1977
"Chicago, Illinois", 1987
"Vancouver, British Columbia, Canada", 1987
"Vancouver, British Columbia,   Canada", 1994
"Japan", 1999
"Hamburg, Germany", 2004
"Cleveland, Ohio, United States", 1993
"Melbourne, Australia", 1981
"Orlando, Florida", 1991
"Washington, D.C., United States", 1994
"London, England", 1985
"New York City", 1993
"Sheffield, England", 1981
"Sydney, Australia", 1994
"Sydney, Australia", 1998
"Notting Hill, London, England", 1978
"Tucson, Arizona, United States", 1989
"Yokohama, Japan", 1990
"Germany", 1999
"Chicago, Illinois, United States", 1981
"Hamburg, Germany", 1984
"Leuven, Belgium", 1981
"Phoenix, Arizona", 1993
"Los Angeles, California", 1997
"Wolfsburg, Germany", 1989
"Sweden", 1996
"Chicago, Illinois, United States", 1990
"Stourbridge, West Midlands (county)", 1986
"Berlin, Germany", 1994
"United States", 1985
"United States", 1990
"Melbourne, Australia", 1988
"Macomb, Illinois, United States", 1985
"New York City, New York, United States", 1970
"Switzerland", 1989
"Los Angeles, California, United States of America ", 1990
"Paris, France", 1995
"Phoenix, Arizona", 1988
"Belgium", 1983
"United Kingdom", 1980
"New York City", 1985
