"Macon, Georgia , United States", 1969
"Toronto, Ontario, Canada", 1964
"Winnipeg, Manitoba, Canada", 1960
"Lexington, Kentucky, United States", 2006
"New York City, New York, USA", 1994
"Bedford, Bedfordshire, England", 2006
"Leland, North Carolina, U.S.", 1950
"El Cerrito, California, United States", 1967
"Los Angeles, California", 1969
"Jacksonville, Florida, U.S.", 1966
"Delta, British Columbia", 2001
"Springhill, Louisiana, United States", 1995
"Fort Payne, Alabama, United States", 1969
"Mobile, Alabama, U.S.", 2005
"Nashville, Tennessee, United States", 1998
"Atlanta, Georgia, United States", 2000
"Mobile, Alabama, United States", 1965
"California, United States", 1985
"Los Angeles, California", 1971
"Nashville, Tennessee", 1993
"Metcalfe County, Kentucky, U.S.", 1968
"Detroit, Michigan", 1990
"Longmeadow, Massachusetts", 1990
"Waycross, Georgia", 1963
"Nashville, Tennessee, U.S.", 1987
"Waverly, Ohio", 1970
"Columbus, Ohio, U.S.", 1999
"Tucson, Arizona, United States", 1967
"Charleston, South Carolina", 1986
"Atlanta, Georgia, USA", 2003
"Nashville, Tennessee", 2010
"Caboolture, Queensland,  Australia", 1991
"Dahlonega, Georgia, U.S.", 2002
"Langley, British Columbia (city)", 1999
"Boulder, Colorado, United States", 1974
"Spartanburg, South Carolina", 1972
"Chicago, Illinois, US", 1969
"California, United States", 1967
"Tampa, Florida", 1967
"Springfield, Missouri", 1972
"Los Angeles, California, United States ", 1968
"London", 1990
