"Japan", 2001
"Tokyo, Japan", 2008
"Shizuoka Prefecture, Japan", 1976
"Tokyo, Japan", 1987
"Japan", 2004
"Japan", 2005
"Tokyo, Japan", 2003
"Japan", 2005
"Chiba, Chiba", 1996
"Japan", 1992
"Osaka, Japan", 2007
"Osaka, Japan", 1995
"Kagoshima Prefecture, Japan", 2000
"Higashi\xc5\x8dsaka, Osaka", 2000
"Japan", 2000
"Akihabara, Tokyo, Japan", 2005
"Tokyo, Japan", 1998
"Japan", 1988
"Vienna, Virginia, United States", 2000
"Tokyo, Japan", 1974
"Zama, Kanagawa, Japan", 1998
"Japan", 1993
"Nara, Nara", 2007
"Japan", 2005
"Tokyo, Japan", 1999
"Japan", 1990
"Moriguchi, Osaka, Japan", 2006
"Fukuoka, Japan", 1993
"Hamamatsu, Shizuoka, Japan", 2007
"Japan", 1992
"Tokyo, Japan", 1987
"Adachi, Tokyo, Japan ", 2002
"Tokyo, Japan", 2001
"Japan", 2001
"Japan", 2002
"Chinatown, New York City", 1995
"Japan", 2001
"Japan", 2007
"Japan", 2009
"Japan", 1973
"Tokyo, Japan", 1990
"Tokyo, Japan", 1996
"Tokushima, Japan", 2000
"Japan", 2001
"Japan", 2012
"Japan", 1999
"Japan", 2001
"{{flagicon", 2001
"Japan", 2001
"Japan", 1999
"Hokkaido, Japan", 2009
"Japan", 1996
"Okinawa Prefecture, Japan", 2003
"Japan", 1996
"Japan", 2009
"Osaka, Japan", 2012
"Japan", 2002
"Japan", 1992
"Japan", 2000
"Japan", 2011
"Tokyo, Japan", 2011
"Japan", 1999
"Japan", 1989
"Japan", 2000
"Tokyo, Japan", 2011
"Japan", 1988
"Ikeda, Hokkaid\xc5\x8d", 1988
"Ch\xc5\x8dfu, Tokyo", 1988
"Kat\xc5\x8d District, Hokkaid\xc5\x8d", 1988
"Japan", 1997
"Tokyo, Japan", 2000
"Tokyo, Japan", 2009
"Kanagawa Prefecture, Japan", 2007
"Tokyo, Japan", 1996
"Tokyo, Japan", 2001
"Japan", 2002
"Saitama, Saitama", 2005
"Tokyo, Japan", 1998
"Japan", 1994
"Japan", 2003
"Japan", 1998
"Osaka Prefecture", 2007
"Japan", 2000
"Japan", 1967
"Japan", 2002
"Tokyo, Japan", 2004
"Hachi\xc5\x8dji, Tokyo", 2004
"Nagasaki, Japan", 1990
"Japan", 1999
"Japan", 2008
"Japan", 1995
"Japan", 2004
"Japan", 2009
"Japan", 2011
"Amami \xc5\x8cshima, Japan", 2001
"Japan", 1996
"Japan{{clarify", 2008
