"New York", 1978
"London, England", 1982
"Boston, Massachusetts", 1978
"Atlanta, Georgia (U.S. State)", 2001
"Montreal, Quebec, Canada", 1996
"United Kingdom", 1997
"Germany", 1960
"Newcastle upon Tyne, UK ", 1980
"Finsp\xc3\xa5ng, Sweden", 1989
"Seattle, Washington", 1998
"Oslo, Norway", 2003
"United States", 1998
"Berlin, Germany", 1990
"Canada", 1999
"Caracas, Venezuela", 1998
"Winnipeg, Manitoba, Canada", 1992
"New York City,  USA", 1979
"Brooklyn, New York, United States", 2000
"Brooklyn, New York City", 1997
"Denver, Colorado, U.S.", 2008
"United States   ", 1980
"Kharkiv, Ukraine", 1995
"Sydney, New South Wales, Australia", 1978
"Kobe, Japan", 1982
"Tokyo, Japan", 1992
"Los Angeles, California, USA", 2001
"Newcastle upon Tyne, England", 1982
"Chiba, Japan", 1970
"Saarbr\xc3\xbccken", 1989
"East Coast of the United States", 1963
"Montreal, Quebec, Canada", 2002
"Portland, Oregon, United States", 2001
"Birmingham, England, {{nowrap", 1988
"Belgium", 1990
"Trbovlje, Slovenia", 1980
"New York City, New York, United States", 1999
"Japan", 1995
"Osaka, Japan", 1986
"New York City, New York, United States", 1971
"Uniontown, Maryland", 1975
"Providence, Rhode Island", 1994
"Shreveport, Louisiana, United States", 1969
"Denver, Colorado, United States", 1975
"New York City, United States", 1981
"Kingston upon Hull, England", 1990
"New York City, United States", 1973
"Southend-on-Sea, Essex, UK.", 1974
"Ann Arbor, Michigan, United States", 1996
"Kanagawa prefecture", 1989
"San Diego, California", 1994
"Columbus, Ohio", 2005
"Sheffield, England", 1973
"United Kingdom", 1980
"San Francisco, United States", 1995
"Switzerland", 1999
"Kyoto, Japan", 1990
"Tokyo, Japan", 1978
"Shinjuku, Tokyo", 1985
"Osaka, Japan", 1983
"Osaka, Japan", 1979
"Osaka, Japan", 1981
"Tokyo, Japan", 1992
"Matsuyama, Ehime", 1991
"Tokyo, Japan", 1992
"Japan", 1985
"Osaka, Japan", 1984
"Hudiksvall, Sweden", 1985
"Brooklyn", 2001
"Los Angeles, California, USA", 2005
"Montreal, Quebec, Canada", 2003
"Montreal, Quebec, Canada", 1996
"Wilkes-Barre, PA", 1999
"Sydney", 1986
"Providence, Rhode Island, United States ", 1994
"Kyoto, Japan", 1991
"Mansfield, England", 1979
"West Berlin, Germany", 1980
"California", 1994
"Austin, Texas, United States", 2002
"Evanston, Illinois", 1981
"Los Angeles, USA", 1979
"Brighton, England", 2004
"Syracuse, New York United States", 1993
"Lubumbashi, Katanga Province", 1989
"San Francisco, United States", 1983
"Washington, DC", 1998
"Denver, Colorado", 2006
"Bromsgrove, Worcestershire, England, United Kingdom", 1999
"San Francisco, California, United States", 1994
"Vienna, Austria", 1995
"Washington, D.C., United States", 1986
"Louisville, Kentucky", 1991
"Mannheim, Germany", 1986
"New York City, New York", 1991
"Tokyo", 1992
"Lexington, Kentucky", 2001
"Miami, Florida", 1992
"Los Angeles, California, U.S.", 2005
"Sacramento, California", 2001
"United States, Germany", 1986
"Brooklyn, New York, U.S.", 2008
"New York City, New York State", 1982
"Claremont, California, United States", 1990
"Trondheim", 1990
"New York City, New York, United States", 1975
"Italy", 1982
"Eureka, California, United States", 1985
"Concord, California, United States", 1979
" Boston, Massachusetts, United States", 1994
"London, Ontario", 1965
"Germany", 1990
"Sweden", 1988
"London, United Kingdom", 1979
"Seattle, Washington (state)", 1993
"Brooklyn, New York, {{nowrap", 1997
"Japan", 1995
"Germany", 1991
"Germany", 1980
"Finland", 1993
"Camberwell, London", 2000
"Flint, Michigan, U.S.", 1986
" San Francisco, California, USA", 1997
"London, United Kingdom", 2005
"London, England", 1982
"Chicago, Illinois, United States", 1987
"New York City, New York State", 1981
"London", 1982
"Austin, Texas", 1982
"Seattle, Washington,  United States", 1993
"Pasadena, California, United States", 1973
"Sheffield, UK", 1998
"Finchley, London, England ", 1979
"New York City, United States", 1982
"Germany", 1994
"Montreal, Quebec, Canada", 1997
"Miami Beach, Florida, United States", 1993
"Stockport, England", 1996
"Leeds, West Yorkshire, England, United Kingdom", 1998
"Rockford, Illinois, Illinois, USA ", 1991
"Germany", 1996
"Somerville, Massachusetts, United States", 1994
"Kansas City, Missouri, United States", 1993
"Mobile, Alabama, United States", 1998
"New York City", 1979
"Sacramento, California", 1989
"Tokyo, Japan", 1987
