"Raleigh, North Carolina, United States", 1991
"Los Angeles, California, United States", 2006
"East London, England", 2005
"Macon, Georgia , United States", 1969
"Laguna Hills, California, U.S.", 1995
"Leeds, England", 2007
"Boston, Massachusetts, U.S.", 2006
"Southampton, England", 1990
"Montreal, Quebec, Canada", 2001
"Bradford, Yorkshire, England", 1992
"Sheffield, England  ", 2002
"New York (state)", 2002
"Adelaide, South Australia, Australia", 2009
"San Diego, California, U.S.", 2003
"Concord, North Carolina", 2000
"Bolton, Lancashire, England", 1995
"Toronto, Ontario, Canada", 1964
"Seattle, Washington (Now based in Charleston, South Carolina)", 2004
"Scarborough, Ontario, Canada", 1988
"Brooklyn, U.S.", 2006
"Liverpool, England", 1960
"Ventnor, Isle of Wight, England", 2001
"Santa Fe, New Mexico", 2006
"Chapel Hill, North Carolina", 1993
"Baton Rouge, Louisiana", 1988
"Kingston upon Hull", 1988
"Marietta, Georgia, United States", 1989
"Akron, Ohio, United States", 2001
"Morrow, Ohio", 1990
"Los Angeles, California, United States", 1990
"Glasgow, Scotland", 1981
"Houston, Texas", 1995
"Toronto, Ontario, Canada", 1984
"Princeton, New Jersey", 1987
"Eau Claire, Wisconsin", 2007
"Sydney, New South Wales, Australia", 2009
"New York City, New York, United States", 2003
"Los Angeles, United States", 2009
"Carencro, Louisiana", 2004
"Los Angeles, California, U.S", 1966
"Fremantle, Western Australia", 1998
"Newbury Park, California, United States", 2007
"Sacramento, California, United States", 1991
"Richmond, Virginia", 1992
"J\xc3\xb6nk\xc3\xb6ping, Sweden", 1992
"Boston, Massachusetts, United States", 1976
"Tacoma, Washington", 1994
"Cleveland, Ohio, US", 1986
"Nashville, Tennessee, United States", 2009
"Austin, Texas", 1996
"London, England", 1976
"Lynn Lake, Manitoba, Canada", 1973
"Ottawa, Ontario, Canada", 1967
"Cleveland, Ohio, United States", 1991
"London, England, United Kingdom ", 1996
"Buxton, Derbyshire, England", 1984
"Rockport, Massachusetts, United States", 1992
"Stockbridge, Georgia, United States", 1992
"Dundalk, County Louth, Republic of Ireland", 1990
"Berkeley, California, U.S.", 1991
"New Orleans, Louisiana, United States", 1990
"Toronto, Ontario", 1986
"Redlands, California, United States", 1990
"Limerick, Republic of Ireland", 1990
"Winnipeg, Manitoba, Canada", 1988
"California, United States", 1968
"Melbourne, Australia", 1985
"Toronto, Ontario, Canada", 1978
"Oshawa, Ontario, Canada", 2001
"Portland, Oregon", 1994
"Charlottesville, Virginia", 1991
"Brewer, Maine", 1998
"Bellingham, Washington, United States", 1997
"Portland, Oregon", 2000
"Glasgow, Scotland", 1983
"Lake Placid, New York, U.S.", 2005
"San Diego, California, United States", 2005
"Oakdale, California, United States", 2004
"Deptford, London, England", 1977
"Vancouver, British Columbia, Canada", 2001
"Birmingham, England, United Kingdom", 1978
"Los Angeles, California, U.S.", 1987
"Chino, California", 2013
"Los Angeles, California, United States", 2007
"Los Feliz, California", 1995
"Leavenworth, Kansas, U.S.", 1985
"Passaic, New Jersey, United States", 1965
"Sulphur Springs, Texas", 1998", 2002
"Wilmette, Illinois, United States", 2001
"Los Angeles, California", 2009
"London, United Kingdom", 2006
"Austin, Texas", 1995
"Los Angeles, California, United States", 2006
"New Zealand", 1989
"Sweden", 2007
"Sabina, Ohio", 2006
"Hamilton, Ontario", 2001
"Oklahoma City, Oklahoma, United States", 1983
"Seattle, Washington", 2006
"Winston-Salem, North Carolina", 1988
"Seattle, Washington (state)", 1994
"Portsmouth, England", 1988
"Los Angeles, California, United States", 2009
"Downey, California", 2000
"Glasgow, Scotland", 2002
